GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 500
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.85
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 1

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 19,528,150 dinara  (9736.34s)

================================================================================
  MEDIJANA: 19,528,150.0 dinara
  NAJBOLJI: 19,528,150 dinara
  NAJGORI:  19,528,150 dinara

  UKUPNO VREME:  9736.34s
  PROSECNO VREME: 9736.34s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

  Pokretanje 1:
    Gen    0: 17,843,247
    Gen    1: 18,061,085
    Gen    2: 18,247,079
    Gen    3: 18,400,091
    Gen    4: 18,532,339
    Gen    5: 18,682,800
    Gen    6: 18,777,622
    Gen    7: 18,863,374
    Gen    8: 18,957,592
    Gen    9: 19,028,581
    Gen   10: 19,084,521
    Gen   11: 19,127,651
    Gen   12: 19,167,429
    Gen   13: 19,205,856
    Gen   14: 19,236,113
    Gen   15: 19,259,983
    Gen   16: 19,281,230
    Gen   17: 19,300,488
    Gen   18: 19,316,890
    Gen   19: 19,329,903
    Gen   20: 19,341,984
    Gen   21: 19,352,385
    Gen   22: 19,362,103
    Gen   23: 19,369,965
    Gen   24: 19,376,805
    Gen   25: 19,383,016
    Gen   26: 19,386,978
    Gen   27: 19,393,885
    Gen   28: 19,397,360
    Gen   29: 19,400,770
    Gen   30: 19,404,075
    Gen   31: 19,407,947
    Gen   32: 19,411,298
    Gen   33: 19,413,379
    Gen   34: 19,416,426
    Gen   35: 19,417,400
    Gen   36: 19,419,637
    Gen   37: 19,421,864
    Gen   38: 19,423,776
    Gen   39: 19,424,303
    Gen   40: 19,427,146
    Gen   41: 19,428,433
    Gen   42: 19,429,163
    Gen   43: 19,430,679
    Gen   44: 19,431,232
    Gen   45: 19,432,082
    Gen   46: 19,434,697
    Gen   47: 19,436,035
    Gen   48: 19,437,527
    Gen   49: 19,438,230
    Gen   50: 19,438,994
    Gen   51: 19,440,439
    Gen   52: 19,441,329
    Gen   53: 19,442,470
    Gen   54: 19,443,299
    Gen   55: 19,444,083
    Gen   56: 19,445,153
    Gen   57: 19,445,690
    Gen   58: 19,446,301
    Gen   59: 19,446,762
    Gen   60: 19,447,612
    Gen   61: 19,448,010
    Gen   62: 19,448,742
    Gen   63: 19,448,954
    Gen   64: 19,450,930
    Gen   65: 19,452,164
    Gen   66: 19,452,790
    Gen   67: 19,453,067
    Gen   68: 19,453,617
    Gen   69: 19,454,730
    Gen   70: 19,455,368
    Gen   71: 19,456,048
    Gen   72: 19,456,359
    Gen   73: 19,457,120
    Gen   74: 19,457,471
    Gen   75: 19,458,004
    Gen   76: 19,458,406
    Gen   77: 19,458,812
    Gen   78: 19,459,130
    Gen   79: 19,459,359
    Gen   80: 19,459,478
    Gen   81: 19,459,807
    Gen   82: 19,460,131
    Gen   83: 19,460,693
    Gen   84: 19,460,868
    Gen   85: 19,460,929
    Gen   86: 19,461,181
    Gen   87: 19,461,375
    Gen   88: 19,461,544
    Gen   89: 19,461,798
    Gen   90: 19,463,020
    Gen   91: 19,463,605
    Gen   92: 19,463,643
    Gen   93: 19,464,040
    Gen   94: 19,464,187
    Gen   95: 19,464,194
    Gen   96: 19,464,346
    Gen   97: 19,464,729
    Gen   98: 19,464,910
    Gen   99: 19,465,096
    Gen  100: 19,465,258
    Gen  101: 19,465,763
    Gen  102: 19,466,178
    Gen  103: 19,466,430
    Gen  104: 19,466,657
    Gen  105: 19,466,795
    Gen  106: 19,467,252
    Gen  107: 19,467,956
    Gen  108: 19,468,504
    Gen  109: 19,468,944
    Gen  110: 19,469,192
    Gen  111: 19,469,354
    Gen  112: 19,469,684
    Gen  113: 19,469,945
    Gen  114: 19,470,322
    Gen  115: 19,470,546
    Gen  116: 19,471,092
    Gen  117: 19,471,168
    Gen  118: 19,471,477
    Gen  119: 19,471,679
    Gen  120: 19,471,931
    Gen  121: 19,472,136
    Gen  122: 19,472,333
    Gen  123: 19,472,576
    Gen  124: 19,473,129
    Gen  125: 19,473,446
    Gen  126: 19,473,852
    Gen  127: 19,473,852
    Gen  128: 19,474,144
    Gen  129: 19,474,246
    Gen  130: 19,474,539
    Gen  131: 19,474,918
    Gen  132: 19,475,303
    Gen  133: 19,475,845
    Gen  134: 19,475,933
    Gen  135: 19,476,172
    Gen  136: 19,476,252
    Gen  137: 19,476,439
    Gen  138: 19,476,642
    Gen  139: 19,476,739
    Gen  140: 19,476,887
    Gen  141: 19,476,979
    Gen  142: 19,477,086
    Gen  143: 19,477,175
    Gen  144: 19,477,306
    Gen  145: 19,477,460
    Gen  146: 19,477,696
    Gen  147: 19,477,775
    Gen  148: 19,477,816
    Gen  149: 19,478,198
    Gen  150: 19,478,248
    Gen  151: 19,478,358
    Gen  152: 19,478,398
    Gen  153: 19,478,437
    Gen  154: 19,478,502
    Gen  155: 19,478,564
    Gen  156: 19,478,894
    Gen  157: 19,479,462
    Gen  158: 19,479,530
    Gen  159: 19,479,980
    Gen  160: 19,480,087
    Gen  161: 19,480,189
    Gen  162: 19,480,288
    Gen  163: 19,480,401
    Gen  164: 19,480,505
    Gen  165: 19,480,522
    Gen  166: 19,480,878
    Gen  167: 19,481,011
    Gen  168: 19,481,101
    Gen  169: 19,481,510
    Gen  170: 19,481,542
    Gen  171: 19,481,881
    Gen  172: 19,481,921
    Gen  173: 19,482,056
    Gen  174: 19,482,398
    Gen  175: 19,482,641
    Gen  176: 19,482,885
    Gen  177: 19,482,959
    Gen  178: 19,483,009
    Gen  179: 19,483,073
    Gen  180: 19,483,180
    Gen  181: 19,483,214
    Gen  182: 19,483,284
    Gen  183: 19,483,387
    Gen  184: 19,484,266
    Gen  185: 19,484,647
    Gen  186: 19,485,075
    Gen  187: 19,485,141
    Gen  188: 19,485,467
    Gen  189: 19,485,501
    Gen  190: 19,485,567
    Gen  191: 19,485,614
    Gen  192: 19,485,689
    Gen  193: 19,485,758
    Gen  194: 19,485,895
    Gen  195: 19,487,357
    Gen  196: 19,487,666
    Gen  197: 19,488,236
    Gen  198: 19,488,236
    Gen  199: 19,488,253
    Gen  200: 19,488,387
    Gen  201: 19,490,355
    Gen  202: 19,490,438
    Gen  203: 19,490,549
    Gen  204: 19,491,022
    Gen  205: 19,491,088
    Gen  206: 19,491,141
    Gen  207: 19,491,239
    Gen  208: 19,491,750
    Gen  209: 19,491,834
    Gen  210: 19,492,024
    Gen  211: 19,492,114
    Gen  212: 19,492,851
    Gen  213: 19,492,935
    Gen  214: 19,493,021
    Gen  215: 19,493,257
    Gen  216: 19,493,312
    Gen  217: 19,493,394
    Gen  218: 19,493,426
    Gen  219: 19,493,516
    Gen  220: 19,493,596
    Gen  221: 19,495,323
    Gen  222: 19,495,423
    Gen  223: 19,495,601
    Gen  224: 19,495,725
    Gen  225: 19,495,765
    Gen  226: 19,495,797
    Gen  227: 19,495,944
    Gen  228: 19,495,944
    Gen  229: 19,496,025
    Gen  230: 19,496,214
    Gen  231: 19,496,298
    Gen  232: 19,496,299
    Gen  233: 19,496,335
    Gen  234: 19,496,353
    Gen  235: 19,496,435
