run,generation,evaluations,best_fitness
1,0,2000,17857001
1,1,4000,18104808
1,2,6000,18307738
1,3,8000,18475666
1,4,10000,18630335
1,5,12000,18769616
1,6,14000,18876807
1,7,16000,18976169
1,8,18000,19052006
1,9,20000,19117460
1,10,22000,19180289
1,11,24000,19226863
1,12,26000,19272755
1,13,28000,19302891
1,14,30000,19332289
1,15,32000,19355703
1,16,34000,19380912
1,17,36000,19401063
1,18,38000,19415093
1,19,40000,19429802
1,20,42000,19443735
1,21,44000,19452778
1,22,46000,19461272
1,23,48000,19471111
1,24,50000,19476156
1,25,52000,19485341
1,26,54000,19487435
1,27,56000,19493527
1,28,58000,19499695
1,29,60000,19502103
1,30,62000,19504445
1,31,64000,19509778
1,32,66000,19514554
1,33,68000,19517102
1,34,70000,19522147
1,35,72000,19524755
1,36,74000,19527499
1,37,76000,19530262
1,38,78000,19532249
1,39,80000,19533947
1,40,82000,19535397
1,41,84000,19538007
1,42,86000,19540290
1,43,88000,19543291
1,44,90000,19544648
1,45,92000,19546923
1,46,94000,19548843
1,47,96000,19550839
1,48,98000,19553044
1,49,100000,19554385
1,50,102000,19556937
1,51,104000,19558036
1,52,106000,19561081
1,53,108000,19563779
1,54,110000,19564843
1,55,112000,19567008
1,56,114000,19567944
1,57,116000,19569812
1,58,118000,19570843
1,59,120000,19572249
1,60,122000,19573011
1,61,124000,19573999
1,62,126000,19574639
1,63,128000,19575227
1,64,130000,19577028
1,65,132000,19577286
1,66,134000,19578244
1,67,136000,19580040
1,68,138000,19580492
1,69,140000,19582475
1,70,142000,19583133
1,71,144000,19584384
1,72,146000,19586182
1,73,148000,19587241
1,74,150000,19588556
1,75,152000,19590263
1,76,154000,19591212
1,77,156000,19592673
1,78,158000,19593659
1,79,160000,19594173
1,80,162000,19597775
1,81,164000,19598886
1,82,166000,19601443
1,83,168000,19602563
1,84,170000,19603875
1,85,172000,19604709
1,86,174000,19606536
1,87,176000,19608050
1,88,178000,19610399
1,89,180000,19611227
1,90,182000,19614606
1,91,184000,19615190
1,92,186000,19617964
1,93,188000,19619561
1,94,190000,19621012
1,95,192000,19621452
1,96,194000,19621986
1,97,196000,19621986
1,98,198000,19622478
1,99,200000,19623397
