run,generation,evaluations,best_fitness
1,0,8000,17852006
1,1,16000,18101525
1,2,24000,18315042
1,3,32000,18488195
1,4,40000,18645616
1,5,48000,18779024
1,6,56000,18889408
1,7,64000,18992566
1,8,72000,19073656
1,9,80000,19145429
1,10,88000,19198040
1,11,96000,19248860
1,12,104000,19289001
1,13,112000,19323929
1,14,120000,19352925
1,15,128000,19378538
1,16,136000,19397996
1,17,144000,19419537
1,18,152000,19432780
1,19,160000,19444591
1,20,168000,19458464
1,21,176000,19467296
1,22,184000,19479709
1,23,192000,19485832
1,24,200000,19494487
1,25,208000,19503367
1,26,216000,19508481
1,27,224000,19513196
1,28,232000,19516941
1,29,240000,19522306
1,30,248000,19525820
1,31,256000,19529153
1,32,264000,19532486
1,33,272000,19536284
1,34,280000,19539685
1,35,288000,19544214
1,36,296000,19544769
1,37,304000,19547715
1,38,312000,19548997
1,39,320000,19550218
1,40,328000,19552815
1,41,336000,19555840
1,42,344000,19557854
1,43,352000,19561755
1,44,360000,19563221
1,45,368000,19566940
1,46,376000,19569352
1,47,384000,19574386
1,48,392000,19579487
1,49,400000,19580349
1,50,408000,19583410
1,51,416000,19585386
1,52,424000,19588509
1,53,432000,19589881
1,54,440000,19592048
1,55,448000,19593987
1,56,456000,19598874
1,57,464000,19600766
1,58,472000,19604279
1,59,480000,19606970
1,60,488000,19609190
1,61,496000,19610178
1,62,504000,19611786
1,63,512000,19612589
1,64,520000,19614079
1,65,528000,19614786
1,66,536000,19616941
1,67,544000,19617440
1,68,552000,19619039
1,69,560000,19621112
1,70,568000,19622515
1,71,576000,19623527
1,72,584000,19625238
1,73,592000,19626697
1,74,600000,19627089
1,75,608000,19629435
1,76,616000,19630683
1,77,624000,19631995
1,78,632000,19633871
1,79,640000,19634709
1,80,648000,19636496
1,81,656000,19637434
1,82,664000,19638836
1,83,672000,19640416
1,84,680000,19641516
1,85,688000,19642387
1,86,696000,19643174
1,87,704000,19644008
1,88,712000,19644947
