GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 1
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88686 dinara  (0.11s)
  Pokretanje 2: 88324 dinara  (0.08s)
  Pokretanje 3: 88546 dinara  (0.15s)
  Pokretanje 4: 88760 dinara  (0.08s)
  Pokretanje 5: 88665 dinara  (0.08s)
  Pokretanje 6: 88798 dinara  (0.08s)
  Pokretanje 7: 88592 dinara  (0.08s)
  Pokretanje 8: 88409 dinara  (0.08s)
  Pokretanje 9: 88323 dinara  (0.08s)
  Pokretanje 10: 88602 dinara  (0.08s)
  Pokretanje 11: 88627 dinara  (0.08s)
  Pokretanje 12: 88529 dinara  (0.08s)
  Pokretanje 13: 88560 dinara  (0.08s)
  Pokretanje 14: 88566 dinara  (0.08s)
  Pokretanje 15: 88549 dinara  (0.08s)

  PROSEK:   88569.1
  MEDIJANA: 88566.0
  NAJBOLJI: 88798
  NAJGORI:  88323
  STDEV:    133.1
  UKUPNO VREME: 1.3s
  PROSECNO VREME: 0.1s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 73573
    Gen    1: 77481
    Gen    2: 78788
    Gen    3: 79731
    Gen    4: 80848
    Gen    5: 81969
    Gen    6: 82451
    Gen    7: 83223
    Gen    8: 83452
    Gen    9: 84295
    Gen   10: 84823
    Gen   11: 85101
    Gen   12: 85101
    Gen   13: 85758
    Gen   14: 85782
    Gen   15: 85935
    Gen   16: 86014
    Gen   17: 86253
    Gen   18: 86280
    Gen   19: 86362
    Gen   20: 86519
    Gen   21: 86807
    Gen   22: 86807
    Gen   23: 86841
    Gen   24: 87034
    Gen   25: 87038
    Gen   26: 87052
    Gen   27: 87232
    Gen   28: 87232
    Gen   29: 87295
    Gen   30: 87419
    Gen   31: 87479
    Gen   32: 87626
    Gen   33: 87629
    Gen   34: 87698
    Gen   35: 87746
    Gen   36: 87828
    Gen   37: 87859
    Gen   38: 87917
    Gen   39: 87933
    Gen   40: 87946
    Gen   41: 87989
    Gen   42: 87989
    Gen   43: 87990
    Gen   44: 88024
    Gen   45: 88025
    Gen   46: 88041
    Gen   47: 88067
    Gen   48: 88099
    Gen   49: 88135
    Gen   50: 88174
    Gen   51: 88174
    Gen   52: 88175
    Gen   53: 88215
    Gen   54: 88230
    Gen   55: 88230
    Gen   56: 88258
    Gen   57: 88265
    Gen   58: 88325
    Gen   59: 88325
    Gen   60: 88330
    Gen   61: 88347
    Gen   62: 88358
    Gen   63: 88392
    Gen   64: 88402
    Gen   65: 88407
    Gen   66: 88412
    Gen   67: 88448
    Gen   68: 88452
    Gen   69: 88469
    Gen   70: 88495
    Gen   71: 88495
    Gen   72: 88495
    Gen   73: 88525
    Gen   74: 88529
    Gen   75: 88546
    Gen   76: 88549
    Gen   77: 88563
    Gen   78: 88577
    Gen   79: 88591
    Gen   80: 88600
    Gen   81: 88600
    Gen   82: 88606
    Gen   83: 88614
    Gen   84: 88625
    Gen   85: 88625
    Gen   86: 88629
    Gen   87: 88649
    Gen   88: 88650
    Gen   89: 88654
    Gen   90: 88657
